;;;Aufgabe;;Minimalfahrplan;wichtigkeit;Teste Dich;AFB I;AFB II;AFB III;Grundwissen;K1;K2;K3;K4;K5;K6
;1;;;Brüche und Dezimalbrüche;;;;;;;;;;;;;
;1;1;;Bruchteile und Anteile;;;;;;;;;;;;;
;1;1;1;;1;-5;;1;;;;;;;;1;
;1;1;2;;;-5;;1;;;;1;;;;1;
;1;1;3;;1;-5;;1;;;;;;;1;1;
;1;1;4;;1;-5;;1;;;;;;;1;1;
;1;1;5;;;-5;;1;;;;;;;;1;
;1;1;6;;1;-5;;1;;;;;1;;;1;
;1;1;7;;1;-5;;1;;;;;1;1;;;1
;1;1;8;;;;;1;;;;;;;;1;
;1;1;9;;1;;1;;;;;;;;;1;
;1;1;10;;1;;1;;;;;;1;;;1;
;1;1;11;;;;;;1;;;;;1;1;;
;1;1;12;;;;;;1;;;;;;;1;
;1;1;13;;1;-5;;;1;;;;1;1;;;
;1;1;14;;1;-5;;;1;;;1;;;1;;
;1;1;15;;;;;;1;;;;;;;1;
;1;1;16;;1;;;;1;;;;;1;1;;
;1;1;17;;1;;;;1;;;;1;;;1;
;1;1;18;;1;;1;;;;;;1;;;1;
;1;1;19;;1;;1;;;;;;1;1;;;
;1;1;20;;1;;;;;1;;;1;1;;;
;1;1;21;;;;;;;1;;;;;1;;1
;1;1;22;;;;;;;;1;;;;;1;
;1;2;;Kürzen und Erweitern;;;;;;;;;;;;;
;1;2;1;;;;;1;;;;;;;;1;
;1;2;2;;1;-5;;1;;;;;;;;1;
;1;2;3;;1;-5;;1;;;;;;;;1;
;1;2;4;;;-5;;1;;;;;;;1;1;
;1;2;5;;1;;;1;;;;;1;;1;;
;1;2;6;;;-5;;1;;;;;;;;1;
;1;2;7;;;;;1;;;;;;;1;1;
;1;2;8;;1;;1;;;;;;;;1;;
;1;2;9;;1;;1;;;;;;;;;1;
;1;2;10;;;;;;1;;;;;1;1;;1
;1;2;11;;1;;;;1;;;;1;;;;
;1;2;12;;;;;;1;;;;;;1;1;
;1;2;13;;1;;;;1;;;;;;1;1;
;1;2;14;;;;;;1;;;;1;;;;
;1;2;15;;1;;;;1;;;;1;;;1;
;1;2;16;;1;-5;;;1;;;;;;1;1;
;1;2;17;;;;;;1;;;;;1;1;;
;1;2;18;;1;;1;;;;;;;;;1;
;1;2;19;;1;;1;;;;;1;;;;;1
;1;2;20;;1;;1;;;;;;;;;1;
;1;2;21;;1;;;;;1;;1;1;;;;
;1;2;22;;;;;;;1;;;1;;1;;
;1;2;23;;;;;;;1;;;1;;;;1
;1;2;24;;;;;;;;1;;1;1;;;
;1;3;;Brüche als Quotienten und an der Zahlengeraden;;;;;;;;;;;;;
;1;3;1;;1;-5;;1;;;;;;;;1;
;1;3;2;;;;;1;;;;;;;;1;
;1;3;3;;1;;;1;;;;;;;1;1;
;1;3;4;;;;;1;;;;;1;;;1;
;1;3;5;;;;;1;;;;;;;1;1;
;1;3;6;;;-5;;1;;;;;;;1;1;
;1;3;7;;;-5;;1;;;;;;1;;1;
;1;3;8;;1;;;1;;;;;;;1;;
;1;3;9;;1;;;1;;;;;1;;1;;
;1;3;10;;;-5;;1;;;;;;1;;;1
;1;3;11;;1;;;1;;;;;;;;1;
;1;3;12;;1;;;1;;;;;;;;1;
;1;3;13;;1;;1;;;;;;;;1;1;
;1;3;14;;1;;1;;;;;;;;;1;
;1;3;15;;;;;;1;;;;;;1;;1
;1;3;16;;;;;;1;;;;;1;1;;
;1;3;17;;1;;;;1;;;;;1;1;;
;1;3;18;;;;;;1;;;;1;;1;;
;1;3;19;;;;;;1;;;;;1;;;
;1;3;20;;1;;;;1;;;;;1;1;;
;1;3;21;;;;;;1;;;;1;;;;
;1;3;22;;1;;;;1;;;1;;;;1;
;1;3;23;;;-5;;;1;;;;;1;1;;
;1;3;24;;1;;1;;;;;;1;;;;
;1;3;25;;1;;1;;;;;;;;1;;
;1;3;26;;;;;;;1;;1;;;1;;
;1;3;27;;;;;;;;1;;1;;;1;
;1;4;;Vergleichen von Brüchen;;;;;;;;;;;;;
;1;4;1;;1;;;1;;;;;1;;;;
;1;4;2;;1;;;1;;;;;1;;;;
;1;4;3;;1;-5;;1;;;;1;;;;1;
;1;4;4;;1;;;1;;;;;;;;1;
;1;4;5;;;;;1;;;;1;;;;;
;1;4;6;;;-5;;1;;;;;;1;;;
;1;4;7;;;;;1;;;;;1;;1;;
;1;4;8;;1;;1;;;;;;;;1;;
;1;4;9;;1;;1;;;;;;1;1;;;
;1;4;10;;;;;;1;;;;1;;;;
;1;4;11;;1;;;;1;;;;;;1;1;
;1;4;12;;;-5;;;1;;;;1;;;;
;1;4;13;;1;;;;1;;;;1;;;;
;1;4;14;;;;;;1;;;1;;1;;;
;1;4;15;;1;;;;1;;;;;1;;;
;1;4;16;;;;;;1;;;1;1;;;;
;1;4;17;;;;;;1;;;;1;;1;;
;1;4;18;;;;;;1;;;1;;;;;1
;1;4;19;;1;;1;;;;;;;;1;;
;1;4;20;;1;;1;;;;;;;1;;;
;1;4;21;;;;;;;1;;;1;1;;;
;1;4;22;;1;;;;;1;;1;1;;;;
;1;4;23;;;;;;;;1;;;;;1;
;1;5;;Rationale Zahlen;;;;;;;;;;;;;
;1;5;1;;;;;1;;;;;1;;;1;
;1;5;2;;1;;;1;;;;;;;;1;
;1;5;3;;1;;;1;;;;;1;;;;
;1;5;4;;;-5;;1;;;;;1;;1;;
;1;5;5;;1;-5;;1;;;;;;;1;1;
;1;5;6;;;;;1;;;;1;1;;1;;
;1;5;7;;1;;;1;;;;;1;;;;1
;1;5;8;;;;;1;;;;;;;;1;
;1;5;9;;1;;1;;;;;;1;1;1;;
;1;5;10;;1;;1;;;;;;;;;1;
;1;5;11;;;;;;1;;;;1;;;1;
;1;5;12;;1;-5;;;1;;;1;;;;;
;1;5;13;;1;;;;1;;;;;;1;1;
;1;5;14;;;;;;1;;;1;;;;;1
;1;5;15;;;-5;;;1;;;;1;;;;
;1;5;16;;1;;;;1;;;;1;;;;
;1;5;17;;1;;1;;;;;;1;;;;
;1;5;18;;1;;1;;;;;1;1;;;;
;1;5;19;;1;;;;;1;;1;1;;;;
;1;5;20;;;;;;;;1;;;;;1;
;1;6;;Dezimalbrüche;;;;;;;;;;;;;
;1;6;1;;1;-5;;1;;;;;;;;1;
;1;6;2;;1;;;1;;;;;1;;;1;
;1;6;3;;;;;1;;;;1;;;;1;
;1;6;4;;;;;1;;;;;1;;;;1
;1;6;5;;1;;;1;;;;;;;;1;
;1;6;6;;;;;1;;;;;1;;;;1
;1;6;7;;1;-5;;1;;;;;;;;1;
;1;6;8;;1;;;1;;;;;1;;;1;
;1;6;9;;;;;1;;;;;;;1;1;
;1;6;10;;1;;;1;;;;;;;;1;
;1;6;11;;1;;;1;;;;1;;;;;
;1;6;12;;1;;1;;;;;;;;;1;
;1;6;13;;1;;1;;;;;;;;;1;
;1;6;14;;1;;;;1;;;;1;;;;
;1;6;15;;;;;;1;;;;1;;;;1
;1;6;16;;;;;;1;;;1;1;;;;
;1;6;17;;;;;;1;;;;;;;1;
;1;6;18;;1;-5;;;1;;;;;;;1;
;1;6;19;;;;;;1;;;;1;;;1;
;1;6;20;;;;;;1;;;;;;;1;
;1;6;21;;1;;;;1;;;;;;1;;
;1;6;22;;1;;;;1;;;;1;;1;;
;1;6;23;;1;;1;;;;;;1;;;1;
;1;6;24;;1;;1;;;;;;1;;;1;
;1;6;25;;1;;;;;1;;1;1;1;;;1
;1;6;26;;;;;;;1;;;1;;;;
;1;6;27;;1;;;;;1;;;1;;;;1
;1;6;28;;;;;;;;1;;;;1;1;
;1;7;;Vergleichen von Dezimalbrüchen;;;;;;;;;;;;;
;1;7;1;;1;-5;;1;;;;;1;;;1;
;1;7;2;;;;;1;;;;1;1;;;;1
;1;7;3;;1;-5;;1;;;;;;;1;;
;1;7;4;;;-5;;1;;;;;1;;;;
;1;7;5;;;;;1;;;;;1;;;1;
;1;7;6;;1;;;1;;;;;1;;1;;
;1;7;7;;1;;;1;;;;;;;;1;
;1;7;8;;1;-2;;1;;;;;1;;;;1
;1;7;9;;;;;1;;;;;1;;;;
;1;7;10;;1;;1;;;;;;1;;;1;
;1;7;11;;1;;1;;;;;;1;;;;
;1;7;12;;1;;;;1;;;;1;;1;;
;1;7;13;;;;;;1;;;;1;;;1;1
;1;7;14;;1;;;;1;;;;1;;1;;
;1;7;15;;1;;;;1;;;;1;;;;
;1;7;16;;1;;;;1;;;;1;;1;;
;1;7;17;;;;;;1;;;;;;;;1
;1;7;18;;1;;;;1;;;;1;;;1;
;1;7;19;;;-5;;;1;;;;1;;1;;
;1;7;20;;;;;;1;;;;1;;;;
;1;7;21;;;;;;1;;;1;1;;;;
;1;7;22;;1;-2;;;1;;;;1;;;1;
;1;7;23;;;;;;1;;;;1;;;;
;1;7;24;;1;;1;;;;;;1;;;1;
;1;7;25;;1;;1;;;;;;1;;;;
;1;7;26;;1;;1;;;;;;1;;;;
;1;7;27;;;;;;;1;;;1;;;;
;1;7;28;;;;;;;1;;;1;;;;1
;1;7;29;;;;;;;;1;;;;;1;
;1;8;;Brüche in Dezimalbrüche umwandeln und runden;;;;;;;;;;;;;
;1;8;1;;;;;1;;;;;1;;;;
;1;8;2;;1;-5;;1;;;;;;;;1;
;1;8;3;;1;;;1;;;;;;;;1;
;1;8;4;;1;;;1;;;;;1;;;1;
;1;8;5;;1;;;1;;;;1;;;;;
;1;8;6;;;;;1;;;;;1;;;;
;1;8;7;;;-5;;1;;;;;;;;1;
;1;8;8;;1;;;1;;;;;;;;1;
;1;8;9;;;;;1;;;;;;;;1;
;1;8;10;;;;;1;;;;;;1;;;1
;1;8;11;;1;;;1;;;;;;;1;1;
;1;8;12;;1;;;1;;;;;;;;1;
;1;8;13;;1;;;1;;;;;1;;;;1
;1;8;14;;1;;1;;;;;;;;;1;
;1;8;15;;1;;1;;;;;;;;;1;
;1;8;16;;1;-5;;;1;;;;1;;;;
;1;8;17;;1;;;;1;;;;1;;;1;
;1;8;18;;;;;;1;;;;1;;;;1
;1;8;19;;;;;;1;;;;1;;;;
;1;8;20;;;;;;1;;;;1;;;;
;1;8;21;;;;;;1;;;;;;;;1
;1;8;22;;1;-5;;;1;;;;1;;1;;
;1;8;23;;;;;;1;;;;1;;;;
;1;8;24;;;;;;1;;;1;;;;1;
;1;8;25;;;;;;1;;;;1;;;1;
;1;8;26;;1;;;;1;;;;1;;;;
;1;8;27;;1;;;;1;;;;1;;;1;
;1;8;28;;;;;;1;;;;1;;;;
;1;8;29;;;;;;1;;;;1;;;1;
;1;8;30;;1;;;1;;;;;1;;;;
;1;8;31;;1;;;1;;;;;1;;;1;
;1;8;32;;1;;;1;;;;;1;;;;
;1;8;33;;;;;;;1;;1;1;;;;1
;1;8;34;;1;;;;;1;;;1;;;;
;1;8;35;;;;;;;;1;;1;1;;;
;1;9;;Periodische Dezimalbrüche;;;;;;;;;;;;;
;1;9;1;;1;-5;;1;;;;;;;;1;
;1;9;2;;;;;1;;;;;;;;1;
;1;9;3;;;-5;;1;;;;;;;;1;
;1;9;4;;;;;1;;;;;1;;;;
;1;9;5;;1;-5;;1;;;;;1;;;1;
;1;9;6;;;;;1;;;;;;;;1;
;1;9;7;;1;;1;;;;;;;;;1;
;1;9;8;;1;;1;;;;;;1;;;1;
;1;9;9;;;;;;1;;;;;;;1;
;1;9;10;;;;;;1;;;;1;;;1;
;1;9;11;;;;;;1;;;;;;;;1
;1;9;12;;1;;;;1;;;;1;;;;
;1;9;13;;1;;;;1;;;1;;1;;;
;1;9;14;;;-5;;;1;;;;1;;;;1
;1;9;15;;1;;;;1;;;;1;;;1;
;1;9;16;;;;;;1;;;;1;;;1;
;1;9;17;;1;;1;;;;;;1;;;;1
;1;9;18;;1;;1;;;;;;1;;1;1;
;1;9;19;;;;;;;1;;;;1;;1;
;1;9;20;;;;;;;;1;;;;1;1;
;1;WVV;;Wiederholen - Vertiefen - Vernetzen;;;;;;;;;;;;;
;1;Wiederholen;1;;;;;1;;;;;;;;1;
;1;Wiederholen;2;;;;;1;;;;;;1;;;
;1;Wiederholen;3;;;;;1;;;;;;;;;
;1;Wiederholen;4;;;;;1;;;;;;;;1;
;1;Wiederholen;5;;;;;1;;;;;;;;1;
;1;Wiederholen;6;;;;;1;;;;;1;;;;
;1;Wiederholen;7;;;-2;;1;;;;;1;;;1;
;1;Wiederholen;8;;;;;1;;;;;1;;;;
;1;Wiederholen;9;;;;;1;;;;;1;;1;;
;1;Wiederholen;10;;;;;1;;;;;;;1;;
;1;Wiederholen;11;;;;;1;;;;;1;;;;
;1;Wiederholen;12;;;;;1;;;;;;1;1;;
;1;Wiederholen;13;;;;;;1;;;;;;;1;
;1;Wiederholen;14;;;;;;1;;;;1;;1;;
;1;Wiederholen;15;;;;;;1;;;;;1;;;
;1;Wiederholen;16;;;;;;1;;;;1;1;;;
;1;Wiederholen;17;;;;;;1;;;;1;;;;
;1;Wiederholen;18;;;-2;;;1;;;;;;1;1;
;1;Wiederholen;19;;;;;;1;;;;1;;;;
;1;Wiederholen;20;;;;;;1;;;;1;;;1;
;1;Wiederholen;21;;;;;;1;;;;;1;;;1
;1;Wiederholen;22;;;-2;;;1;;;1;1;;;;
;1;Wiederholen;23;;;;;;1;;;;1;;;1;
;1;Wiederholen;24;;;;;;1;;;;;;1;;1
;1;Wiederholen;25;;;;;;1;;;;1;1;;;
;1;Wiederholen;26;;;;;;1;;;;1;;;;
;1;Wiederholen;27;;;;;;1;;;;;1;;;1
;1;Wiederholen;28;;;;;;;1;;1;1;;;;
;1;Wiederholen;29;;;;;;;1;;1;1;;;;
;1;Wiederholen;30;;;;;;;1;;;1;1;;;
;1;Wiederholen;31;;;;;;;1;;;1;;1;;
;1;Wiederholen;32;;;;;;;1;;;1;;;;1
;1;Wiederholen;33;;;;;;;1;;1;;;;;1
;1;Teste dich!;;Teste Dich!;;;;;;;;;;;;;
;1;Teste dich;1;;;;;;;;;;1;;;1;
;1;Teste dich;2;;;;;;;;;;1;;;;
;1;Teste dich;3;;;;;;;;;;;;;1;
;1;Teste dich;4;;;;;;;;;;1;;;1;
;1;Teste dich;5;;;;;;;;;;1;;;1;
;1;Teste dich;6;;;;;;;;;;1;;;;
;1;Teste dich;7;;;;;;;;;1;;1;;;
;1;Teste dich;8;;;;;;;;;;1;;1;;
;1;Teste dich;9;;;;;;;;;;1;;;;
;1;Teste dich;10;;;;;;;;;;;;;1;
;1;Teste dich;11;;;;;;;;;;1;;1;1;
;1;Teste dich;12;;;;;;;;;;;1;;1;
;1;Teste dich;13;;;;;;;;;;;;1;1;
;1;Teste dich;14;;;;;;;;;;1;;;1;
;2;;;Addition und Subtraktion von Brüchen;;;;;;;;;;;;;
;2;1;;Addieren und Subtrahieren gleichnahmniger Brüche;;;;;;;;;;;;;
;2;1;1;;1;;;;;;;;;;;1;
;2;1;2;;1;;;;;;;;;;1;;
;2;1;3;;;;;;;;;;;;;1;
;2;1;4;;1;;;;;;;;;;;1;
;2;1;5;;1;;;;;;;;;;1;;
;2;1;6;;;;;;;;;;;;1;;
;2;1;7;;;;;;;;;;;1;;;1
;2;1;8;;;;;;;;;1;;;;;
;2;1;9;;1;;;;;;;;1;;;;
;2;1;10;;1;;;;;;;;1;;;1;
;2;1;11;;;;;;;;;;1;;;;
;2;1;12;;;;;;;;;;;;;1;
;2;2;;Addieren und Subtrahieren ungleichnahmiger Brüche;;;;;;;;;;;;;
;2;2;1;;1;;;;;;;;;;;1;
;2;2;2;;1;;;;;;;;1;;;;1
;2;2;3;;1;;;;;;;1;;;;;
;2;2;4;;;;;;;;;;;;;1;
;2;2;5;;;;;;;;;;;;;1;
;2;2;6;;1;;;;;;;;;;;1;
;2;2;7;;;;;;;;;;;;1;;
;2;2;8;;;;;;;;;1;;1;;;
;2;2;9;;1;;;;;;;1;;;;1;
;2;2;10;;1;;;;;;;;;;;;1
;2;2;11;;1;;;;;;;;;;;1;
;2;2;12;;1;;;;;;;1;;;;;
;2;2;13;;;;;;;;;;;1;;1;
;2;2;14;;;;;;;;;;;;1;1;
;2;2;15;;;;;;;;;1;1;1;;;
;2;2;16;;1;;;;;;;1;;;;;1
;2;2;17;;1;;;;;;;;;;;1;
;2;2;18;;1;;;;;;;;1;1;;;
;2;2;19;;;;;;;;;;;;;1;
;2;2;20;;1;;;;;;;;;;1;1;
;2;2;21;;;;;;;;;;;;1;;
;2;2;22;;1;;;;;;;;;1;;;
;2;2;23;;;;;;;;;;1;;;;
;2;2;24;;;;;;;;;1;;;;;
;2;2;25;;;;;;;;;;1;;;1;
;2;2;26;;;;;;;;;;1;1;;;
;2;2;27;;1;;;;;;;;;;;;1
;2;2;28;;1;;;;;;;;;;;1;
;2;2;29;;1;;;;;;;;1;;;;
;2;2;30;;;;;;;;;;1;;;;
;2;2;31;;;;;;;;;;1;;;;
;2;2;32;;;;;;;;;1;;;;1;
;2;2;33;;;;;;;;;;;;;1;
;2;3;;Addieren und Subtrahieren gemischter Zahlen;;;;;;;;;;;;;
;2;3;1;;1;;;;;;;;;;;1;
;2;3;2;;;;;;;;;;1;;;1;
;2;3;3;;1;;;;;;;;;;1;1;
;2;3;4;;;;;;;;;;;;;1;1
;2;3;5;;1;;;;;;;;;1;;1;
;2;3;6;;1;;;;;;;;;;;1;
;2;3;7;;1;;;;;;;;;1;;1;
;2;3;8;;1;;;;;;;;;;;;1
;2;3;9;;1;;;;;;;;1;;;1;
;2;3;10;;1;;;;;;;;1;1;;1;
;2;3;11;;;;;;;;;;1;;;1;
;2;3;12;;;;;;;;;;;;;1;1
;2;3;13;;;;;;;;;1;;;;;
;2;3;14;;1;;;;;;;1;;;;1;
;2;3;15;;1;;;;;;;;;;;;
;2;3;16;;;;;;;;;;1;;;1;
;2;3;17;;;;;;;;;1;;;1;;
;2;4;;Addieren und Subtrahieren von Dezimalbrüchen;;;;;;;;;;;;;
;2;4;1;;1;;;;;;;;;;;1;
;2;4;2;;1;;;;;;;;;;;1;
;2;4;3;;;;;;;;;1;;;;1;
;2;4;4;;1;;;;;;;;1;1;;1;
;2;4;5;;;;;;;;;;;;1;;
;2;4;6;;1;;;;;;;1;;;;;1
;2;4;7;;1;;;;;;;;;;;1;
;2;4;8;;1;;;;;;;;;1;;1;
;2;4;9;;;;;;;;;;1;;;;
;2;4;10;;;;;;;;;;;;;1;
;2;4;11;;;;;;;;;1;;;;;1
;2;4;12;;;;;;;;;1;;;;;
;2;4;13;;;;;;;;;1;;;1;;
;2;4;14;;;;;;;;;;;;1;;1
;2;4;15;;;;;;;;;;;1;;1;
;2;4;16;;1;;;;;;;;;;1;1;
;2;4;17;;1;;;;;;;1;1;1;;1;
;2;4;18;;;;;;;;;;1;;;;
;2;4;19;;1;;;;;;;;1;;;;
;2;4;20;;1;;;;;;;1;1;;;;
;2;4;21;;;;;;;;;;1;;;;
;2;4;22;;;;;;;;;;1;;;;1
;2;4;23;;;;;;;;;;;;;1;
;2;WVV;;Wiederholen - Vertiefen - Vernetzen;;;;;;;;;;;;;
;2;Wiederholen;1;;;;;;;;;;;;;1;
