;;;Aufgabe;;Minimalfahrplan;wichtigkeit;Teste Dich;AFB I;AFB II;AFB III;Grundwissen;K1;K2;K3;K4;K5;K6
;4;Teste dich;5;;;;;;;;;;1;;;1;1
;4;Teste dich;6;;;;;;;;;;1;;1;;
;4;Teste dich;7;;;;;;;;;;;;;1;
;4;Teste dich;8;;;;;;;;;;1;;;;
;4;Teste dich;9;;;;;;;;;;1;1;1;;
;4;Teste dich;10;;;;;;;;;1;;1;1;;1
;5;1;1;;1;;;;;;;;;;;1;
;5;1;2;;;;;;;;;;;;;1;
;5;1;3;;;;;;;;;1;1;;;;
;5;1;4;;1;;;;;;;;1;;;1;
;5;1;5;;1;;;;;;;;1;;1;;
;5;1;6;;1;;;;;;;1;;;1;1;
;5;1;7;;;;;;;;;;1;;1;;1
;5;1;8;;1;;;;;;;;1;;;1;1
;5;1;9;;1;;;;;;;1;;;;;
;5;1;10;;;;;;;;;;;1;1;;
;5;1;11;;;;;;;;;;;1;1;;
;5;1;12;;1;;;;;;;1;;;;;
;5;1;13;;1;;;;;;;;1;;;;1
;5;1;14;;;;;;;;;;;;;;1
;5;2;1;;1;;;;;;;1;;1;;;1
;5;2;2;;1;;;;;;;1;;;;1;
;5;2;3;;1;;;;;;;;;;;1;
;5;2;4;;;;;;;;;;1;;;1;
;5;2;5;;1;;;;;;;;;;;1;
;5;2;6;;1;;;;;;;;1;;;1;1
;5;2;7;;;;;;;;;;1;;;;
;5;2;8;;1;;;;;;;;1;;;;1
;5;2;9;;;;;;;;;;;1;;;
;5;2;10;;1;;;;;;;;1;;;1;
;5;2;11;;;;;;;;;;1;;;;
;5;2;12;;;;;;;;;;1;;;1;
;5;2;13;;1;;;;;;;;;;;1;
;5;2;14;;1;;;;;;;1;;;1;;
;5;2;15;;1;;;;;;;;;;1;;
;5;2;16;;1;;;;;;;;1;;;1;
;5;2;17;;1;;;;;;;1;;1;;;
;5;2;18;;1;;;;;;;;;1;;;1
;5;2;19;;;;;;;;;;1;;;;1
;5;2;20;;1;;;;;;;;1;;;1;
;5;2;21;;1;;;;;;;;1;;;1;
;5;2;22;;1;;;;;;;;1;;1;;
;5;2;23;;1;;;;;;;;1;;;1;
;5;2;24;;;;;;;;;1;;1;;;
;5;2;25;;1;;;;;;;;1;;;1;
;5;2;26;;;;;;;;;;1;1;;;1
;5;2;27;;1;;;;;;;1;1;1;;;
;5;2;28;;1;;;;;;;;1;;;1;
;5;2;29;;1;;;;;;;1;1;;;;
;5;2;30;;;;;;;;;;1;;;1;
;5;2;31;;;;;;;;;;;;;1;1
;5;2;32;;1;;;;;;;;1;1;;;
;5;2;33;;;;;;;;;;1;;;1;
;5;3;1;;1;;;;;;;;;;;1;1
;5;3;2;;1;;;;;;;;;;;1;
;5;3;3;;1;;;;;;;;;;;1;1
;5;3;4;;;;;;;;;1;;;;;
;5;3;5;;1;;;;;;;;1;1;;;
;5;3;6;;;;;;;;;;1;;;;1
;5;3;7;;;;;;;;;;1;1;;;
;5;3;8;;1;;;;;;;;1;;;1;
;5;3;9;;1;;;;;;;;1;;;1;1
;5;3;10;;1;;;;;;;;1;1;;;
;5;3;11;;1;;;;;;;;;;;1;
;5;3;12;;;;;;;;;;1;;;;1
;5;3;13;;1;;;;;;;;1;1;;;
;5;3;14;;1;;;;;;;;1;;;1;
;5;3;15;;;;;;;;;;;1;1;;
;5;3;16;;1;;;;;;;;1;;;;1
;5;3;17;;1;;;;;;;;1;1;;;
;5;3;18;;;;;;;;;1;;;;;1
;5;3;19;;;;;;;;;;1;;;1;
;5;3;20;;;;;;;;;;1;1;;;
;5;3;21;;;;;;;;;;1;;1;;
;5;3;22;;;;;;;;;;1;;;1;
;5;3;23;;1;;;;;;;;1;;1;;
;5;3;24;;1;;;;;;;;1;1;;;
;5;3;25;;1;;;;;;;;1;;;1;
;5;3;26;;1;;;;;;;1;;;;;
;5;3;27;;;;;;;;;;;1;1;;
;5;3;28;;;;;;;;;;1;;;;1
;5;4;1;;1;;;;;;;;;;1;1;
;5;4;2;;1;;;;;;;;1;;1;;
;5;4;3;;;;;;;;;;1;;;;1
;5;4;4;;1;;;;;;;;1;1;;;
;5;4;5;;1;;;;;;;;1;;;;1
;5;4;6;;1;;;;;;;;;;1;1;
;5;4;7;;1;;;;;;;;1;;1;;
;5;4;8;;;;;;;;;;;;1;1;
;5;4;9;;1;;;;;;;;1;1;;;
;5;4;10;;1;;;;;;;;1;;1;;
;5;4;11;;1;;;;;;;1;;;1;1;
;5;4;12;;1;;;;;;;;1;1;;;1
;5;4;13;;;;;;;;;;;1;;;1
;5;4;14;;1;;;;;;;;;;1;1;
;5;4;15;;;;;;;;;;1;;1;;
;5;4;16;;;;;;;;;;1;;;1;
;5;Wiederholen;1;;;;;;;;;1;;;;;1
;5;Wiederholen;2;;;;;;;;;;;;;1;
;5;Wiederholen;3;;;;;;;;;;;;;1;
;5;Wiederholen;4;;;;;;;;;;1;1;;;
;5;Wiederholen;5;;;;;;;;;;1;1;;;
;5;Wiederholen;6;;;;;;;;;;;1;1;;1
;5;Wiederholen;7;;;;;;;;;;1;;;1;
;5;Wiederholen;8;;;;;;;;;;1;1;;;
;5;Wiederholen;9;;;;;;;;;;;1;;;1
;5;Wiederholen;10;;;;;;;;;1;1;;;;
;5;Wiederholen;11;;;;;;;;;1;1;;;;
;5;Wiederholen;12;;;;;;;;;;1;;;1;
;5;Wiederholen;13;;;;;;;;;;1;;1;;
;5;Wiederholen;14;;;;;;;;;;;1;;;1
;5;Wiederholen;15;;;;;;;;;;1;1;;;
;5;Wiederholen;16;;;;;;;;;;1;;;1;
;5;Wiederholen;17;;;;;;;;;;;1;1;;
;5;Wiederholen;18;;;;;;;;;;1;1;;;1
;5;Wiederholen;19;;;;;;;;;;1;1;;;
;5;Wiederholen;20;;;;;;;;;;1;1;1;;
;5;Wiederholen;21;;;;;;;;;;1;1;;;1
;5;Wiederholen;22;;;;;;;;;;1;1;;;
;5;Teste dich;1;;;;;;;;;;;;;;1
;5;Teste dich;2;;;;;;;;;;1;;;1;
;5;Teste dich;3;;;;;;;;;;;;1;1;1
;5;Teste dich;4;;;;;;;;;;1;;;1;
;5;Teste dich;5;;;;;;;;;1;;;1;;1
;5;Teste dich;6;;;;;;;;;;1;1;;;
;5;Teste dich;7;;;;;;;;;;1;1;;;
;5;Teste dich;8;;;;;;;;;;1;;1;;
;5;Teste dich;9;;;;;;;;;1;1;;;;
;5;Teste dich;10;;;;;;;;;;1;;;1;
;5;Teste dich;11;;;;;;;;;1;;1;;;
;5;Teste dich;12;;;;;;;;;1;1;;;;1
;6;1;1;;1;;;;;;;;1;;;1;
;6;1;2;;;;;;;;;;;;;1;
;6;1;3;;1;;;;;;;;;;1;1;
;6;1;4;;1;;;;;;;;1;;;;
;6;1;5;;1;;;;;;;;;;;1;
;6;1;6;;;;;;;;;;;;;1;
;6;1;7;;1;;;;;;;;;;1;1;
;6;1;8;;;;;;;;;;;;;1;1
;6;1;9;;1;;;;;;;;1;;;1;
;6;1;10;;1;;;;;;;;;;;1;
;6;1;11;;1;;;;;;;;;;;1;
;6;1;12;;1;;;;;;;;;;;1;
;6;1;13;;1;;;;;;;;;;;1;
;6;1;14;;1;;;;;;;1;;;;1;1
;6;1;15;;1;;;;;;;;1;;1;1;
;6;1;16;;1;;;;;;;;1;;;1;
;6;1;17;;1;;;;;;;;1;;;1;
;6;1;18;;1;;;;;;;;;1;1;1;
;6;1;19;;;;;;;;;1;1;1;;;
;6;1;20;;;;;;;;;;;;;1;
;6;2;1;;1;;;;;;;;1;;;1;
;6;2;2;;1;;;;;;;;;;;1;
;6;2;3;;1;;;;;;;;;1;1;1;
;6;2;4;;1;;;;;;;;;;1;1;
;6;2;5;;;;;;;;;;1;;;1;
;6;2;6;;1;;;;;;;;1;;;1;1
;6;2;7;;1;;;;;;;1;;;;;
;6;2;8;;1;;;;;;;1;;;;1;
;6;2;9;;;;;;;;;1;;;;;1
;6;2;10;;;;;;;;;;1;;;1;
;6;2;11;;1;;;;;;;;;;1;1;1
;6;2;12;;1;;;;;;;;;1;;;1
;6;2;13;;1;;;;;;;;;;;1;
;6;2;14;;1;;;;;;;;;;1;1;
;6;2;15;;;;;;;;;;;;;1;1
;6;2;16;;;;;;;;;;;;;1;
;6;2;17;;1;;;;;;;;;1;1;1;
;6;2;18;;1;;;;;;;;;1;;1;
;6;2;19;;1;;;;;;;;1;;;1;1
;6;2;20;;1;;;;;;;;1;1;;1;
;6;2;21;;1;;;;;;;;;;;1;
;6;2;22;;1;;;;;;;1;;;;;1
;6;2;23;;1;;;;;;;;;;1;1;1
;6;2;24;;1;;;;;;;;;1;;1;
;6;2;25;;;;;;;;;;;1;1;;
;6;2;26;;;;;;;;;;1;;;1;
;6;3;1;;1;;;;;;;;;;1;1;1
;6;3;2;;1;;;;;;;;;;1;1;
;6;3;3;;1;;;;;;;;;;1;1;
;6;3;4;;;;;;;;;;1;;1;1;
;6;3;5;;;;;;;;;;;;1;;1
;6;3;6;;1;;;;;;;;1;;;1;
;6;3;7;;1;;;;;;;;1;;1;;1
;6;3;8;;1;;;;;;;1;;;;;1
;6;3;9;;1;;;;;;;;1;1;;1;
;6;3;10;;;;;;;;;;;;;1;
;6;3;11;;1;;;;;;;1;;;;;1
;6;3;12;;;;;;;;;1;;;;1;
;6;3;13;;;;;;;;;;1;;1;;
;6;3;14;;1;;;;;;;;;;1;1;
;6;3;15;;1;;;;;;;;1;;1;;
;6;3;16;;;;;;;;;;;;;1;1
;6;3;17;;;;;;;;;;;;1;1;
;6;4;1;;1;;;;;;;;1;;1;;1
;6;4;2;;;;;;;;;;;1;1;;
;6;4;3;;1;;;;;;;;;1;1;;
;6;4;4;;;;;;;;;;1;1;;;1
;6;4;5;;1;;;;;;;;1;;;1;1
;6;4;6;;1;;;;;;;;;;1;1;1
;6;4;7;;1;;;;;;;;1;;;1;
;6;4;8;;1;;;;;;;;1;1;;;
;6;4;9;;1;;;;;;;;;1;1;;
;6;4;10;;1;;;;;;;;1;1;;1;
;6;4;11;;;;;;;;;;1;;1;;
;6;4;12;;1;;;;;;;1;;;;1;
;6;4;13;;1;;;;;;;;1;;;1;
;6;4;14;;;;;;;;;;;1;;1;
;6;4;15;;1;;;;;;;;1;1;1;;
;6;4;16;;;;;;;;;;1;1;;1;
;6;4;17;;;;;;;;;1;;;1;1;
;6;Wiederhole;1;;;;;;;;;;1;;;1;1
;6;Wiederhole;2;;;;;;;;;;;;1;;
;6;Wiederhole;3;;;;;;;;;;1;;1;;
;6;Wiederhole;4;;;;;;;;;;;1;;1;1
;6;Wiederhole;5;;;;;;;;;;1;;1;;1
;6;Wiederhole;6;;;;;;;;;;;;1;1;
;6;Wiederhole;7;;;;;;;;;;;1;;;
;6;Wiederhole;8;;;;;;;;;1;1;;;;1
;6;Wiederhole;9;;;;;;;;;;;;1;;
;6;Wiederhole;10;;;;;;;;;;1;;1;;1
;6;Wiederhole;11;;;;;;;;;;1;1;;1;
;6;Wiederhole;12;;;;;;;;;;;;1;1;
;6;Wiederhole;13;;;;;;;;;;;;1;1;1
;6;Wiederhole;14;;;;;;;;;1;;;1;;
;6;Wiederhole;15;;;;;;;;;1;;;1;;
;6;Wiederhole;16;;;;;;;;;;1;;;1;
;6;Wiederhole;17;;;;;;;;;;;1;1;1;
;6;Wiederhole;18;;;;;;;;;1;;1;1;;
;6;Teste dich;1;;;;;;;;;;;;1;;
;6;Teste dich;2;;;;;;;;;;1;;;1;1
;6;Teste dich;3;;;;;;;;;;;;1;;
;6;Teste dich;4;;;;;;;;;;;;1;1;
;6;Teste dich;5;;;;;;;;;;1;1;;1;
;6;Teste dich;6;;;;;;;;;1;;;1;1;
;6;Teste dich;7;;;;;;;;;;1;1;;1;
;6;Teste dich;8;;;;;;;;;;1;;;1;
;6;Teste dich;9;;;;;;;;;;1;1;;;
;6;Teste dich;10;;;;;;;;;;;1;;1;
;7;1;1;;1;;;;;;;;;;;1;
;7;1;2;;1;;;;;;;;;;;1;
;7;1;3;;1;;;;;;;;1;1;;;
;7;1;4;;;;;;;;;;;;;1;
;7;1;5;;1;;;;;;;;1;;;;1
;7;1;6;;;;;;;;;;1;;;;1
;7;1;7;;1;;;;;;;1;1;;;;
;7;1;8;;;;;;;;;;;;;1;1
;7;1;9;;1;;;;;;;;;;;1;
;7;1;10;;1;;;;;;;;1;;1;;
;7;1;11;;1;;;;;;;;1;1;;;
;7;1;12;;;;;;;;;;1;;1;;
;7;1;13;;1;;;;;;;;1;;;1;
;7;1;14;;;;;;;;;;1;1;;;
;7;1;15;;;;;;;;;;1;;;1;
;7;1;16;;1;;;;;;;;;;;1;
;7;1;17;;1;;;;;;;1;;1;;;
;7;1;18;;1;;;;;;;;;;;1;
;7;1;19;;;;;;;;;;;;1;1;
;7;1;20;;1;;;;;;;;1;;;1;
;7;1;21;;1;;;;;;;;;;;1;
;7;1;22;;1;;;;;;;;1;1;;;
;7;1;23;;;;;;;;;;;1;1;;
;7;1;24;;;;;;;;;;1;;1;;
;7;2;1;;1;;;;;;;;1;;1;;1
;7;2;2;;1;;;;;;;;1;;1;;
;7;2;3;;;;;;;;;;;;1;1;
;7;2;4;;1;;;;;;;;;;1;1;
;7;2;5;;1;;;;;;;;1;;1;;
;7;2;6;;1;;;;;;;;;1;1;;
;7;2;7;;;;;;;;;;;1;1;;
;7;2;8;;;;;;;;;;1;;1;;
;7;2;9;;;;;;;;;;;;1;1;
;7;2;10;;1;;;;;;;;1;;1;;
;7;2;11;;1;;;;;;;;1;;;1;
;7;2;12;;1;;;;;;;;1;;1;;
;7;2;13;;;;;;;;;;;1;1;;1
;7;2;14;;;;;;;;;;;;1;1;
;7;2;15;;1;;;;;;;;;1;;;1
;7;2;16;;;;;;;;;;;1;;;1
;7;2;17;;1;;;;;;;1;;;1;;1
;7;2;18;;1;;;;;;;;1;;;;1
;7;2;19;;1;;;;;;;1;1;;1;1;1
;7;2;20;;;;;;;;;;;1;1;;
;7;2;21;;1;;;;;;;;1;1;;;
;7;2;22;;;;;;;;;;;;;1;
;7;3;1;;1;;;;;;;;;;;1;
;7;3;2;;1;;;;;;;;;;;1;
;7;3;3;;;;;;;;;;;;;1;
;7;3;4;;;;;;;;;;;;1;1;
;7;3;5;;1;;;;;;;;1;;;1;
;7;3;6;;;;;;;;;;;;1;;1
;7;3;7;;1;;;;;;;;1;;;;1
;7;3;8;;1;;;;;;;;;;;1;
;7;3;9;;1;;;;;;;;1;;1;;
;7;3;10;;1;;;;;;;;1;;;1;
;7;3;11;;1;;;;;;;;1;1;;;
;7;3;12;;;;;;;;;;;1;1;;
;7;3;13;;1;;;;;;;;1;;;;1
;7;3;14;;;;;;;;;;;;1;;1
;7;3;15;;1;;;;;;;;1;1;;;
;7;3;16;;;;;;;;;;;1;;;1
;7;3;17;;1;;;;;;;;1;1;;;
;7;3;18;;;;;;;;;;1;1;;;
;7;3;19;;;;;;;;;1;1;;;;
;7;3;20;;1;;;;;;;;1;;1;;
;7;3;21;;;;;;;;;;1;;1;;
;7;3;22;;1;;;;;;;;;1;;1;
;7;3;23;;;;;;;;;1;;;1;;
;7;4;1;;1;;;;;;;;;;;1;
;7;4;2;;1;;;;;;;;;;;1;
;7;4;3;;1;;;;;;;;;;;1;
;7;4;4;;;;;;;;;;1;;;1;
;7;4;5;;;;;;;;;;1;;1;;
;7;4;6;;1;;;;;;;;1;1;;;
;7;4;7;;;;;;;;;;1;;1;;
;7;4;8;;1;;;;;;;;1;;;1;
;7;4;9;;1;;;;;;;;;;;1;
;7;4;10;;1;;;;;;;;1;1;;;
;7;4;11;;1;;;;;;;;;1;;1;
;7;4;12;;;;;;;;;;;1;;1;
;7;4;13;;1;;;;;;;;1;;;1;
;7;4;14;;1;;;;;;;;1;1;;;
;7;4;15;;;;;;;;;;;;1;1;
;7;4;16;;;;;;;;;;;1;;;1
;7;4;17;;1;;;;;;;;;1;;;1
;7;4;18;;;;;;;;;;;1;;1;
;7;4;19;;;;;;;;;;1;;;;1
;7;4;20;;1;;;;;;;1;;;;;
;7;4;21;;1;;;;;;;;1;;;1;
;7;4;22;;;;;;;;;1;;1;;;
;7;4;23;;1;;;;;;;1;;1;;;
;7;4;24;;1;;;;;;;;;;;1;
;7;5;1;;1;;;;;;;;;;1;1;1
;7;5;2;;1;;;;;;;;;;;;1
;7;5;3;;1;;;;;;;;;1;1;;
;7;5;4;;1;;;;;;;1;;;1;;
;7;5;5;;;;;;;;;;;1;;;1
;7;5;6;;1;;;;;;;;1;;;;1
;7;5;7;;;;;;;;;;;;1;1;1
;7;5;8;;;;;;;;;;1;;1;;
;7;5;9;;1;;;;;;;;;;1;1;
;7;5;10;;1;;;;;;;;1;;;;
;7;5;11;;1;;;;;;;;;1;;;1
;7;5;12;;1;;;;;;;;;1;1;;
;7;5;13;;;;;;;;;1;;;1;;
;7;5;14;;;;;;;;;;1;;;1;
;7;6;1;;1;;;;;;;;1;;;;
;7;6;2a;;1;;;;;;;;;1;1;1;
;7;6;2b;;1;;;;;;;;;;;;1
;7;6;3;;;;;;;;;1;;;;1;
;7;6;4;;;;;;;;;;;;1;;1
;7;6;5;;1;;;;;;;;1;;;;1
;7;6;6a,b;;1;;;;;;;;;;1;1;
;7;6;6c;;1;;;;;;;;1;;;;
;7;6;7a;;1;;;;;;;;1;;;;
;7;6;7b;;1;;;;;;;1;;;;1;
;7;6;8;;1;;;;;;;;1;;;1;
;7;6;9;;1;;;;;;;1;;;;;
;7;6;10;;;;;;;;;;1;;;1;
;7;6;11;;;;;;;;;1;;;;;
;7;6;12;;1;;;;;;;1;;1;;;
;7;6;13;;1;;;;;;;;1;1;;1;
;7;6;14;;1;;;;;;;;1;1;;;
;7;6;15;;;;;;;;;1;1;;;1;1
;7;6;16;;;;;;;;;;;;;1;
;7;Wiederholen;1;;;;;;;;;;1;;;1;
;7;Wiederholen;2;;;;;;;;;;;;1;1;
;7;Wiederholen;3;;;;;;;;;;;;1;;1
;7;Wiederholen;4;;;;;;;;;;1;;1;;
;7;Wiederholen;5;;;;;;;;;;;;1;1;
;7;Wiederholen;6;;;;;;;;;;;1;1;;
;7;Wiederholen;7;;;;;;;;;;;1;1;1;
;7;Wiederholen;8;;;;;;;;;;1;;;;1
;7;Wiederholen;9;;;;;;;;;1;1;;;;
;7;Wiederholen;10;;;;;;;;;;;;1;1;
;7;Wiederholen;11;;;;;;;;;;;1;;1;
;7;Wiederholen;12;;;;;;;;;1;;;;;
;7;Wiederholen;13;;;;;;;;;1;;1;;;1
;7;Wiederholen;14;;;;;;;;;1;;;1;;
;7;Wiederholen;15;;;;;;;;;;1;;;1;1
;7;Wiederholen;16;;;;;;;;;;1;;1;1;
;7;Wiederholen;17;;;;;;;;;1;;;1;;1
;7;Wiederholen;18;;;;;;;;;;1;;1;;
;7;Wiederholen;19;;;;;;;;;;;1;1;;
;7;Wiederholen;20;;;;;;;;;;;;1;;1
;7;Teste dich;1;;;;;;;;;;;;;1;
;7;Teste dich;2;;;;;;;;;1;;;;;1
;7;Teste dich;3;;;;;;;;;;;;1;1;
;7;Teste dich;4;;;;;;;;;;;;1;1;
;7;Teste dich;5;;;;;;;;;;;1;1;;
;7;Teste dich;6;;;;;;;;;;1;1;;;
;7;Teste dich;7;;;;;;;;;;1;;;1;
;7;Teste dich;8;;;;;;;;;1;1;;;;
;7;Teste dich;9;;;;;;;;;;;1;1;;
;7;Teste dich;10;;;;;;;;;;1;1;;1;
